Initialized empty Git repository in C:/warren-bank-releases/.git/
Switched to a new branch 'master'

2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/191126155/22761880-239b-11eb-8bf3-03fa0e9ba536?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101003Z&X-Amz-Expires=300&X-Amz-Signature=df82bcf00358eec82b2afbb3d7de512d57c3af13cd30bbf760597444c70d35e8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DADB-over-WiFi-release.apk&response-content-type=application%2Fvnd.android.package-archive [80623/80623] -> "warren-bank-releases/Android-ADB-over-WiFi/v01.00.01/ADB-over-WiFi-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-ADB-over-WiFi/legacy.zip/refs/tags/v01.00.01 [211867] -> "warren-bank-releases/Android-ADB-over-WiFi/v01.00.01/source/Android-ADB-over-WiFi-v01.00.01.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/191126155/86e5d600-8b1e-11e9-8a7b-2692a4fd0a5a?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101006Z&X-Amz-Expires=300&X-Amz-Signature=806e2a9c0c488add3276f4be0e0997c869398586aa42868915ccba9f9933d7b4&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DADB-over-WiFi-release.apk&response-content-type=application%2Fvnd.android.package-archive [55775/55775] -> "warren-bank-releases/Android-ADB-over-WiFi/v01.00.00/ADB-over-WiFi-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-ADB-over-WiFi/legacy.zip/refs/tags/v01.00.00 [113696] -> "warren-bank-releases/Android-ADB-over-WiFi/v01.00.00/source/Android-ADB-over-WiFi-v01.00.00.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/fa451e97-c942-416e-bcac-cc8af5d25f48?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101009Z&X-Amz-Expires=300&X-Amz-Signature=e20540d85585652b47ed2879c15755f8f9ca34125045daacca8aa5a8f5197d03&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.06-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [292529/292529] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.6/AirPlay-Client-000.05.06-14API-english-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/9c07685c-0881-433b-a795-c4e3f0d82e7b?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101010Z&X-Amz-Expires=300&X-Amz-Signature=3269d21b3570e8b779637f19bbda93d79b467744b459e8bd79c9d42f72b34118&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.06-14API-withAllLanguageTranslations-release.apk&response-content-type=application%2Fvnd.android.package-archive [380187/380187] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.6/AirPlay-Client-000.05.06-14API-withAllLanguageTranslations-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.6 [844688] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.6/source/Android-AirPlay-Client-v0.5.6.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/066d87a5-7e41-4082-b6b8-87123744c1db?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101014Z&X-Amz-Expires=300&X-Amz-Signature=51c2afbfc99e8aa10377af0536f5bea23434da9291eb8d88fad5fbc14b4509f0&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.05-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [292544/292544] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.5/AirPlay-Client-000.05.05-14API-english-release.apk" [1]
